reference	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S77	S78	S79	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S90	S91	S92	S93	S94	S95	S96	S97	S98	S99	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155																																																																																																																																																												
time 	area																																																																																																																																																																																																																																																																																																																						
0	0	13.469	3.506	23.427	1.052	23.913	0.783	22.735	2.013	18.5	0.298	21.104	0.555	16.313	0.453	13.073	1.729	24.152	2.353	14.326	45.916	20.726	3.821	31.181	0.39	9.893	10.474	10.556	19.168	18.502	0.613	14.053	1.53	33.081	2.396	15.731	0.289	26.29	0.894	16.729	0.307	23.492	2.588	21.869	0.309	15.897	2.332	0	0	18.5	0.247	22.738	2.52	17.19	0.204	14.333	30.531	17.189	0.203	22.733	2.661	12.302	1.523	22.736	3.973	20.718	3.256	20.718	2.029	20.451	0.373	20.717	6.776	20.065	0.268	13.88	0.944	21.486	3.976	23.833	1.325	20.192	0.9	10.652	10.793	20.45	0.445	14.325	48.641	23.231	2.382	22.139	0.21	17.041	0.252	10.77	7.407	9.799	21.115	20.188	0.713	22.52	3.297	21.485	12.664	23.746	0.263	22.518	2.954	21.484	6.846	20.713	3.065	20.449	0.231	15.2	0.229	23.792	0.836	22.52	1.38	21.48	4.441	16.321	0.29	28.973	0.526	20.863	0.209	19.814	0.304	10.843	1.016	26.538	15.08	25.425	14.232	31.401	0.64	20.88	0.21	28.447	0.247	23.419	5.295	18.2	0.225	14.178	0.798	15.014	2.226	23.226	10.61	22.522	2.518	13.014	0.209	14.911	0.437	22.137	0.211	19.811	0.302	14.049	3.475	14.413	0.369	21.108	0.518	22.923	0.283	19.5	0.371	20.718	3.799	15.453	0.268	12.971	1.194	31.4	0.352	12.976	0.524	17.19	0.29	10.368	0.565	12.963	0.695	11.441	0.89	24.002	0.318	21.484	6.064	21.586	1.091	0	0	20.198	0.721	16.687	0.321	20.718	3.267	22.74	2.89	21.108	0.739	22.74	1.813	20.45	0.402	21.587	0.84	0	0	18.933	0.269	19.505	0.565	17.042	0.355	20.72	4.178	17.547	0.706	20.453	0.389	14.327	1.837	15.014	1.396	30.875	0.396	26.535	39.967	16.853	1.428	27.499	0.36	14.902	1.747	27.058	0.674	16.136	0.651	14.038	6.79	13.744	1.383	11.423	0.912	24.753	0.83	15.437	0.253	19.796	0.271	10.236	3.248	15	2.319	18.689	0.656	15.894	4.994	19.803	0.296	26.462	3.499	23.412	1.619	24.14	18.459	23.92	0.628	24.433	1.655	20.708	2.461	20.724	0.224	19.799	0.248	22.248	0.435	14.997	1.826	10.69	0.844	21.088	0.674	17.178	0.347	20.703	3.544	12.135	1.983	9.711	18.913	10.76	6.079	17.176	0.33	15.435	0.209	20.708	2.618	14.312	6.562
0	0	13.574	2.761	23.496	0.84	23.993	1.024	23.23	1.082	18.942	0.582	21.484	6.825	16.48	0.312	13.215	1.124	24.432	0.279	14.414	0.947	21.114	0.634	31.456	2.65	10.072	1.478	10.65	9.507	18.946	0.205	14.176	1.352	33.234	0.816	15.841	0.279	26.4	0.333	17.099	0.316	23.653	2.078	22.522	4.534	16.148	0.404	0	0	18.942	0.49	23.233	1.422	17.542	1.201	14.421	1.691	17.541	0.739	23.229	2.837	12.624	9.522	23.233	2.313	21.106	0.532	21.104	0.41	20.573	0.201	21.105	0.541	20.196	0.925	13.921	2.672	21.593	0.971	23.913	0.813	20.449	0.281	10.777	6.343	20.723	2.124	14.413	2.111	23.418	1.031	22.524	1.896	17.094	3.811	11.045	3.143	9.897	12.119	20.443	0.308	22.733	2.416	21.813	1.225	23.831	0.515	22.731	2.132	21.593	1.146	21.101	0.863	20.717	2.852	15.253	0.253	24.015	0.314	22.733	1.559	21.586	1.266	16.692	0.251	29.169	0.35	20.964	0.329	20.448	0.315	11.586	0.796	26.874	1.067	25.706	9.16	31.462	1.662	21.113	0.573	28.543	4.287	23.489	5.11	18.698	0.349	14.326	8.586	15.345	0.363	23.426	5.463	22.734	2.472	13.061	0.776	15.012	2.782	22.522	3.866	20.715	2.325	14.174	2.975	14.61	0.215	21.485	4.804	23.231	8.372	19.812	0.275	21.115	0.568	15.942	0.333	13.066	1.245	31.461	1.544	13.067	0.638	17.541	0.675	10.452	4.957	13.066	0.834	11.505	0.766	24.154	4.629	21.587	1.393	22.133	0.204	0	0	20.454	0.316	17.196	0.44	21.106	0.387	23.236	1.975	21.488	3.64	23.236	2.676	20.719	3.64	22.527	2.526	0	0	19.355	0.348	19.817	0.327	17.194	0.399	21.111	0.641	18.503	0.894	20.573	0.235	14.413	0.222	17.194	0.309	31.047	0.423	26.999	0.49	16.975	1.431	27.557	0.412	15.008	1.975	27.317	0.423	16.182	0.396	14.162	5.596	13.863	1.884	11.486	0.779	24.913	0.882	17.179	0.352	20.046	0.255	10.322	0.703	15.439	0.552	19.176	0.774	16.107	0.602	20.183	0.81	26.525	23.323	23.484	1.326	24.41	2.83	23.999	0.928	24.616	1.18	21.094	0.796	20.856	189.284	20.045	0.234	22.51	3.27	15.437	0.396	10.759	6.127	21.47	14.273	17.45	0.2	21.094	0.529	12.289	0.679	9.786	18.286	10.827	0.706	17.447	0.206	16.022	0.459	20.913	0.552	14.403	0.824
0	0	13.641	6.341	23.66	0.897	24.152	7.419	23.424	1.326	19.503	0.292	21.593	2.179	16.519	0.353	13.472	0.596	24.628	0.477	14.61	0.568	21.492	7.912	31.553	0.274	10.17	7.524	10.705	1.088	19.505	0.444	14.325	7.694	34.161	1.71	15.901	6.273	26.538	9.631	17.195	0.5	23.745	1.084	22.735	3.666	16.311	0.516	0	0	19.364	0.208	23.421	0.961	18.497	0.418	14.474	1.144	18.197	0.697	23.418	1.38	12.745	0.61	23.423	1.749	21.484	4.922	21.482	3.648	20.72	5.285	21.485	10.336	20.452	0.36	14.056	1.977	22.53	2.941	23.999	1.033	20.716	3.399	10.847	0.508	21.107	0.739	14.463	0.816	23.493	1.012	22.737	1.662	17.19	0.311	11.146	3.041	10.075	1.236	20.712	3.419	23.23	2.821	21.873	0.519	24	0.292	23.229	0.525	22.526	4.617	21.481	4.241	21.104	0.494	15.344	0.401	24.151	3.96	23.23	2.955	22.521	3.12	16.737	0.26	29.255	0.554	21.1	1.009	20.718	4.476	12.027	0.407	27.005	0.357	25.897	4.033	31.746	3.316	21.31	0.245	28.667	0.454	23.652	2.644	19.185	0.614	14.416	0.628	15.466	15.946	23.5	4.174	23.231	3.163	13.174	2.93	15.347	0.21	22.735	3.098	21.103	0.509	14.323	27.401	14.67	0.325	21.593	1.537	23.43	10.187	20.061	0.287	21.485	6.78	16.2	0.433	13.178	1.9	31.56	0.277	13.178	0.653	18.496	0.393	10.555	28.177	13.178	1.717	11.586	0.26	24.425	0.351	21.871	0.26	22.257	0.528	0	0	20.722	3.73	17.467	0.247	21.484	4.548	23.423	1.346	21.592	1.014	23.422	0.957	21.105	0.737	22.739	2.021	0	0	19.492	0.435	20.066	0.264	17.546	0.989	21.488	7.008	18.946	0.218	20.72	4.368	14.466	1.178	17.464	0.205	31.291	0.449	27.11	0.547	17.04	0.442	27.687	0.219	15.448	0.279	27.49	0.522	16.3	0.257	14.312	78.409	13.902	4.762	11.569	0.46	25.021	0.317	17.448	0.224	20.177	0.794	10.439	3.807	15.887	0.262	19.281	0.22	16.142	1.179	20.437	0.4	26.861	0.846	23.645	1.375	24.615	2.105	24.144	11.661	24.703	0.412	21.293	0.226	20.952	3.706	20.177	0.867	22.724	2.13	15.924	0.463	11.027	1.548	21.855	0.498	17.529	0.909	21.47	5.993	12.609	6.186	9.884	10.51	11.036	3.875	17.529	0.823	17.176	0.382	21.093	1.038	14.452	0.874
0	0	13.766	5.869	23.746	0.595	24.412	3.031	23.496	1.121	19.814	0.288	21.813	0.748	16.64	0.348	13.628	0.916	24.716	0.336	14.91	0.559	21.6	0.849	32.166	5.121	10.242	6.438	10.776	5.899	19.817	0.338	14.415	0.913	34.348	0.899	16.11	0.647	26.87	0.474	17.465	0.304	23.83	2.65	23.228	0.535	16.481	0.271	0	0	19.502	0.357	23.497	0.89	18.703	0.208	14.619	0.509	18.631	0.274	23.492	1.445	12.853	2.541	23.496	1.587	21.593	0.905	21.593	0.902	21.108	0.592	21.587	1.584	20.719	3.788	14.181	1.669	22.741	2.94	24.15	10.67	21.103	0.667	11.05	2.119	21.485	8.574	14.517	0.432	23.654	1.156	23.233	2.401	17.236	0.437	11.438	1.173	10.173	8.248	21.101	0.673	23.42	1.402	21.953	0.69	24.153	4.259	23.419	0.745	22.737	4.017	21.584	1.345	21.483	6.535	15.466	18.175	24.419	0.208	23.418	0.714	22.732	2.825	17.049	0.219	29.908	4.737	21.287	0.454	21.107	0.491	12.151	2.198	27.073	1.03	26.153	0.388	32.173	3.931	21.491	5.514	28.773	1.055	23.789	3.82	19.399	0.431	14.513	0.674	15.603	0.294	23.667	2.653	23.423	2.19	13.244	10.126	15.462	8.998	23.232	2.365	21.48	3.166	14.411	1.228	15.011	2.07	21.873	0.263	23.68	0.815	20.192	0.808	21.593	1.463	16.684	0.235	13.206	0.985	32.171	7.294	13.25	3.508	18.94	0.306	10.648	14.362	13.25	7.562	11.837	0.208	24.629	0.355	22.523	3.309	22.521	2.316	0	0	21.11	0.659	17.548	1.147	21.593	0.924	23.498	1.032	22.529	1.997	23.499	0.891	21.486	7.977	23.234	2.532	0	0	19.807	0.806	20.197	0.865	18.5	0.9	21.593	1.406	19.367	0.255	21.108	0.594	14.615	0.43	17.546	0.772	31.456	3.512	27.327	0.582	17.094	4.649	27.814	0.672	16.48	0.226	27.548	0.536	16.505	0.255	14.4	2.949	14.038	3.68	11.819	0.206	25.236	1.131	17.53	0.747	20.432	0.309	10.543	21.786	15.927	0.64	19.351	0.336	16.187	0.366	20.708	2.792	26.987	0.579	23.739	0.599	24.707	0.664	24.426	1.087	24.753	0.329	21.472	7.39	21.133	0.282	20.432	0.395	23.218	5.415	16.022	0.566	11.127	1.407	21.906	0.309	18.485	0.771	21.553	2.962	12.73	1.289	10.063	1.421	11.137	3.853	18.482	0.428	17.446	0.261	21.293	0.245	14.507	0.382
0	0	13.923	36.632	23.831	0.656	24.623	1.705	23.656	1.106	20.061	0.262	21.87	0.582	16.683	0.447	13.747	0.254	24.773	0.239	15.017	2.969	21.88	0.4	32.26	0.658	10.325	0.548	10.847	0.556	20.065	0.222	14.466	0.434	34.619	0.368	16.148	2.839	27.004	0.265	17.547	1.397	23.923	0.893	23.422	0.776	16.724	0.766	0	0	19.814	0.3	23.658	0.615	19.501	0.228	14.681	0.361	18.701	0.605	23.654	1.453	12.973	1.546	23.658	1.439	22.526	2.747	22.26	0.201	21.49	9.589	21.872	0.379	21.108	0.759	14.329	8.738	22.84	0.217	24.421	1.863	21.482	4.447	11.15	1.959	21.589	0.982	14.611	0.502	23.746	0.524	23.429	0.774	17.544	0.547	11.501	0.975	10.244	6.645	21.48	6.859	23.493	1.453	22.138	0.566	24.421	0.315	23.492	0.841	23.234	2.471	21.866	0.238	21.587	0.911	15.599	0.479	24.624	0.382	23.493	0.839	23.23	3.013	17.101	0.648	30.633	0.751	21.398	0.365	21.488	14.171	12.305	1.014	27.33	0.212	26.291	1.014	33.088	6.721	21.595	1.058	28.847	0.361	23.933	2.229	19.5	0.271	14.613	0.472	15.735	0.222	23.793	3.222	23.492	1.692	13.29	4.787	15.904	4.701	23.425	1.817	21.586	1.021	14.467	0.397	15.345	0.245	22.526	3.185	23.76	0.576	20.446	0.453	21.873	0.225	17.193	0.342	13.25	10.753	32.434	1.208	13.296	2.074	19.501	0.267	10.703	1.485	13.295	3.766	12.031	0.364	25.275	1.542	22.736	3.713	22.733	2.729	0	0	21.489	5.959	18.503	0.559	22.525	3.988	23.661	0.735	22.741	2.325	23.659	0.604	21.593	1.323	23.422	1.22	0	0	20.053	0.302	20.452	0.482	18.945	0.295	21.874	0.292	19.505	0.317	21.487	6.119	14.903	2.479	18.501	0.23	32.166	6.937	27.501	0.631	17.19	0.51	28.539	2.966	17.036	0.212	27.62	0.265	16.627	0.245	14.453	0.671	14.163	2.919	12.133	1.606	25.409	25.248	19.487	0.342	20.7	3.66	10.636	10.211	15.991	0.605	19.4	0.381	16.264	0.246	21.093	0.63	27.106	0.457	23.821	0.931	24.76	0.714	24.618	1.221	25.261	1.289	21.58	1.103	21.302	6.963	20.701	6.605	23.412	4.268	16.182	0.463	11.424	0.602	22.126	0.219	18.928	0.258	21.8	0.754	12.836	2.033	10.162	8.512	11.202	0.39	18.926	0.274	17.528	0.956	21.475	11.938	14.597	0.251
0	0	14.059	15.636	23.92	0.421	24.712	1.381	23.831	1.826	20.45	0.415	22.524	2.742	16.724	1.164	14.181	0.209	24.92	0.296	15.205	0.296	22.148	0.236	32.432	1.465	10.359	0.491	11.048	1.974	20.197	1.146	14.512	0.456	35.521	0.719	16.269	0.619	27.073	0.786	19.505	0.446	24.015	1.409	23.495	0.811	16.853	0.376	0	0	20.06	0.207	23.753	0.323	19.812	0.718	14.916	0.715	19.184	0.311	23.747	0.562	13.023	0.238	23.831	1.747	22.737	3.156	22.524	2.398	21.593	2.022	22.525	9.492	21.488	6.57	14.419	0.97	23.237	2.339	24.625	2.542	21.587	1.121	11.444	0.844	21.872	0.297	14.675	0.366	23.829	0.795	23.496	0.835	17.84	1.598	11.582	0.532	10.328	0.609	21.587	2.755	23.655	1.351	22.522	6.943	25.272	1.113	23.653	0.692	23.421	1.765	21.926	0.333	21.87	0.268	15.666	0.707	24.711	0.514	23.655	0.704	23.418	1.43	17.199	0.512	30.737	3.893	21.48	3.301	21.82	1.01	12.629	1.361	27.564	0.227	26.405	0.338	33.304	0.535	21.879	0.306	28.972	0.979	23.994	2.601	19.713	0.212	14.672	0.359	15.907	8.369	23.916	1.686	23.655	2.012	13.37	3.496	16.152	1.976	23.494	1.546	22.522	2.241	14.513	0.537	15.462	11.715	22.738	3.957	23.806	1.125	20.567	0.228	22.14	0.221	17.463	0.205	13.295	5.225	33.086	2.421	13.375	1.098	19.812	0.247	10.775	9.245	13.375	1.75	12.15	1.331	25.421	14.754	23.232	2.483	23.23	5.773	0	0	21.593	1.77	18.945	0.304	22.737	2.855	23.835	0.965	23.239	3.934	23.751	0.285	21.873	0.251	23.497	0.645	0	0	20.183	0.949	20.573	0.263	19.366	0.389	22.143	0.228	19.817	0.23	21.593	1.406	15.013	1.927	18.943	0.467	33.076	3.406	27.561	0.897	17.236	0.547	29.929	0.572	17.189	0.428	27.809	1.215	16.67	0.323	14.5	0.754	14.311	21.628	12.287	0.993	25.691	13.775	19.71	0.229	21.088	0.68	10.691	1.128	16.186	0.622	19.491	0.334	16.304	0.493	21.474	8.303	27.318	0.357	23.92	0.607	24.913	0.991	24.706	0.616	25.409	14.156	22.25	0.348	21.471	0.967	21.089	0.731	23.487	3.824	16.668	0.27	11.489	0.513	22.246	0.608	19.349	0.333	21.856	0.539	12.956	1.201	10.231	6.546	11.429	1.371	19.347	0.311	18.482	0.637	21.58	2.861	14.658	0.293
0	0	14.183	17.125	24.005	0.665	24.927	0.834	23.906	0.562	20.719	4.05	22.736	3.133	16.858	0.583	14.328	2.364	25.275	1.021	15.347	0.567	22.48	0.469	33.08	2.871	10.444	5.719	11.148	1.864	20.453	0.413	14.61	0.392	35.882	0.352	16.309	0.315	27.327	0.223	19.816	0.428	24.152	8.94	23.656	0.655	16.97	0.41	0	0	20.447	0.351	23.834	0.646	20.715	4.374	15.02	2.629	19.499	0.216	23.827	1.247	13.073	2.75	23.906	0.795	23.235	1.462	22.737	2.157	21.82	0.494	22.737	5.732	21.593	1.981	14.512	0.86	23.426	0.909	24.72	0.859	22.522	3.554	11.508	0.693	22.142	0.218	14.771	0.27	24.006	1.247	23.66	0.637	18.2	0.913	11.831	0.264	10.364	0.529	21.813	0.939	23.829	2.032	22.735	5.069	25.419	4.05	23.746	0.311	23.498	1.138	22.521	3.924	22.526	2.324	15.73	0.904	25.247	0.892	23.747	0.321	23.493	1.486	17.469	0.269	31.396	0.709	21.587	2.37	21.873	0.739	12.856	0.616	27.826	1.02	26.539	21.229	34.172	1.211	22.48	0.318	29.053	0.274	24.149	29.95	19.811	1.027	14.912	0.532	16.113	0.5	24.004	1.833	23.83	2.499	13.455	3.854	16.274	0.298	23.656	1.696	22.734	2.066	14.607	0.48	15.735	0.298	22.84	0.201	24.033	0.523	20.716	5.837	22.526	3.46	17.544	0.912	13.375	3.655	34.162	2.351	13.462	1.094	20.058	0.217	10.843	0.965	13.462	2.608	12.304	0.656	25.703	8.719	23.423	1.553	23.421	4.304	0	0	22.529	4.234	19.505	0.466	23.235	1.298	23.913	0.221	23.427	1.668	23.84	0.403	22.528	3.331	23.833	0.874	0	0	20.44	0.572	20.72	5.605	19.502	0.777	22.473	0.33	20.065	0.253	21.933	0.219	15.455	0.249	19.504	0.305	34.157	2.375	27.812	0.922	17.322	0.256	30.03	0.694	17.458	0.287	27.973	0.277	16.712	0.969	14.595	0.914	14.4	1.632	12.608	8.315	25.881	9.899	19.8	0.304	21.468	7.73	10.762	6.358	16.67	0.337	19.712	0.319	16.475	0.586	21.58	2.536	27.49	0.466	23.993	0.91	25.02	0.321	25.239	0.934	25.691	11.822	22.513	2.35	21.86	179.81	21.472	16.839	23.646	2.636	17.024	0.289	11.573	0.372	22.508	5.908	19.487	0.384	22.125	0.218	13.05	1.004	10.316	0.535	11.491	1.23	19.484	0.422	18.925	0.322	21.806	0.544	14.784	0.368
0	0	14.334	92.573	24.151	7.658	25.032	0.246	23.999	0.595	21.116	0.706	23.233	2.034	16.975	0.555	14.413	0.292	25.421	17.021	15.47	18.314	22.535	3.091	33.236	1.153	10.548	34.939	11.441	0.799	20.721	4.948	14.672	0.541	48.044	12.683	16.347	0.228	27.564	0.569	20.197	0.922	24.414	1.979	23.748	0.4	17.03	0.243	0	0	20.718	2.941	24.022	0.338	21.104	0.514	15.355	0.605	19.717	0.666	24.004	1.638	13.206	4.035	24.001	0.83	23.423	0.969	23.233	3.176	22.143	0.205	23.234	2.298	21.873	0.242	14.614	0.664	23.499	0.751	24.92	0.687	22.735	2.979	11.592	0.388	22.471	0.719	14.909	0.72	24.151	7.199	23.832	2.284	18.634	0.49	12.026	0.59	10.447	6.703	21.867	0.7	24.002	1.741	23.233	1.905	25.699	8.809	23.827	0.766	23.659	0.757	22.733	2.785	22.737	3.154	15.793	0.328	25.418	17.755	23.828	0.659	23.654	1.508	17.55	1.312	31.458	1.469	21.806	1.021	22.14	0.235	13.073	2.41	28.377	0.532	26.876	0.621	35.533	0.939	22.538	0.573	29.168	0.683	24.418	5.211	20.19	0.758	15.013	3.492	16.151	2.463	24.157	17.967	23.913	0.971	13.562	3.028	16.315	0.498	23.832	2.898	23.23	1.051	14.67	0.526	15.904	5.85	23.236	1.676	24.161	7.19	21.105	0.53	22.738	3.829	18.5	0.23	13.46	3.969	34.349	0.918	13.568	0.832	20.447	0.318	10.956	0.295	13.568	1.805	12.624	2.462	25.893	5.436	23.496	1.38	23.492	3.824	0	0	22.74	3.959	19.818	0.445	23.421	1.275	24.16	2.202	23.501	1.319	24.16	1.863	22.739	3.602	24.156	1.115	0	0	20.71	2.921	21.108	0.702	19.816	0.343	22.531	3.3	20.196	0.878	22.528	4.3	16.042	0.254	19.815	0.288	34.347	0.981	27.986	0.294	17.544	0.653	30.14	0.55	17.54	1.17	28.365	0.529	16.845	0.48	14.665	0.569	14.453	0.671	12.728	1.462	26.138	0.713	20.435	0.245	21.547	4.01	11.028	1.567	17.028	0.28	19.802	0.585	16.513	0.318	21.806	0.437	27.553	0.428	24.142	11.399	25.262	1.196	25.411	18.383	25.82	1.495	22.725	3.278	22.244	0.742	21.8	1.321	23.74	1.783	17.177	0.394	12.016	0.402	22.721	4.254	19.798	0.27	22.512	2.245	13.163	1.689	10.35	0.617	11.57	0.91	19.797	0.29	19.348	0.284	22.252	0.351	14.882	0.587
0	0	14.421	3.842	24.423	1.441	25.272	1.46	24.153	7.595	21.485	8.416	23.422	1.425	17.039	0.237	14.467	1.207	25.731	1.668	15.603	0.907	22.746	3.843	34.16	1.707	10.642	18.474	11.505	0.7	21.11	0.775	14.903	0.313	0	0	16.479	2.117	27.827	0.955	20.722	2.15	24.493	0.516	23.83	0.613	17.091	1.858	0	0	21.112	0.58	24.157	1.678	21.479	1.708	15.481	22.715	19.809	0.25	24.15	7.667	13.249	5.874	24.155	9.032	23.497	0.88	23.426	1.8	22.528	4.883	23.423	2.211	22.528	4.086	14.676	0.374	23.662	0.556	25.033	0.27	23.232	3.538	12.033	0.41	22.535	1.944	15.012	2.776	24.42	2.169	24.154	3.538	18.699	2.131	12.146	3.106	10.551	39.658	22.136	0.22	24.151	9.276	23.422	1.583	25.833	0.758	23.993	0.708	23.833	1.345	23.23	4.306	22.833	0.2	15.84	0.517	25.7	7.913	24.018	0.345	23.746	0.647	17.836	0.203	31.739	0.444	21.866	0.761	22.263	0.211	13.177	0.294	28.546	2.929	27.005	0.441	35.887	1.958	22.633	0.648	29.365	0.358	24.625	3.004	20.716	2.029	15.459	5.317	16.272	0.516	24.426	3.333	23.996	1.277	13.63	6.075	16.484	0.625	23.906	0.7	23.419	1.243	14.905	0.333	16.15	0.908	23.427	1.098	24.333	1.019	21.485	14.675	22.833	0.228	19.501	0.335	13.566	2.974	34.625	0.415	13.635	1.649	20.716	4.489	11.058	4.755	13.635	6.285	12.745	1.401	26.15	0.296	23.656	1.377	23.653	2.862	0	0	22.84	0.204	20.066	0.349	23.497	0.951	24.431	0.687	23.663	1.048	24.431	0.314	22.833	0.222	24.431	0.327	0	0	21.096	1.134	21.489	9.405	20.065	0.397	22.741	4.058	20.452	0.544	22.738	4.161	16.316	0.262	20.062	0.207	0	0	28.383	0.278	17.839	0.699	30.287	1.884	18.497	0.392	28.532	3.476	16.963	0.415	14.759	0.423	14.5	0.515	12.835	2.125	26.233	0.509	20.704	2.433	21.793	0.961	11.129	1.192	17.088	0.271	20.176	0.906	16.633	0.234	22.126	0.227	27.673	0.302	24.415	1.277	25.408	13.776	25.693	14.037	25.88	6.363	23.222	4.101	22.723	0.486	21.855	0.543	23.819	1.965	17.449	0.214	12.135	2.843	23.216	7.828	20.047	0.353	22.723	3.632	13.235	9.734	10.436	6.966	11.766	0.275	20.044	0.206	19.485	0.358	22.515	2.86	15.002	1.864
0	0	14.483	0.619	24.623	0.523	25.42	10.394	24.422	1.3	21.593	2.294	23.495	1.361	17.092	2.337	14.616	0.467	25.898	0.495	15.673	0.48	22.84	0.392	34.35	0.876	10.768	11.74	11.59	0.466	21.49	7.939	15.016	4.048	0	0	16.579	0.294	28.373	0.53	21.108	0.704	24.624	1.755	23.92	0.272	17.189	0.321	0	0	21.484	5.845	24.428	0.342	21.582	0.623	15.611	0.52	20.046	0.218	24.418	3.357	13.296	10.146	24.422	2.579	23.658	0.721	23.496	1.671	22.741	4.793	23.498	1.736	22.74	3.541	14.915	0.688	23.753	0.266	25.271	1.572	23.42	1.432	12.153	2.222	22.741	2.988	15.346	0.577	24.626	1.355	24.424	0.5	18.793	0.274	12.298	0.75	10.644	20.977	22.258	0.289	24.419	2.609	23.495	1.523	25.891	4.709	24.149	5.712	23.916	0.285	23.419	1.227	23.234	3.065	15.907	11.188	25.889	5.381	24.151	4.523	23.833	0.857	18.211	0.256	32.168	3.38	22.013	0.472	22.525	4.885	13.214	0.533	29.259	0.382	27.074	1.052	41.842	2.895	22.747	2.793	30.028	0.249	24.713	1.102	20.966	0.232	15.604	0.277	16.312	0.398	24.593	3.497	24.151	13.012	13.754	5.911	16.52	0.41	24.005	0.779	23.493	1.123	15.011	3.584	16.197	0.221	23.5	0.971	24.453	0.906	21.813	0.999	23.226	0.349	19.723	0.293	13.634	5.713	35.526	1.048	13.76	1.594	21.105	0.565	11.157	4.798	13.76	7.005	12.853	1.969	26.289	1.143	23.831	1.906	23.748	1.42	0	0	23.238	1.961	20.197	1.016	23.667	0.731	24.631	0.61	23.757	0.537	24.631	0.509	23.236	2.766	24.628	0.591	0	0	21.299	0.272	21.593	3.328	20.195	1.018	23.232	0.418	20.721	7.768	23.237	3.176	17.194	0.432	20.451	0.298	0	0	28.544	3.279	18.2	0.879	30.388	2.145	18.938	0.364	29.244	0.321	17.025	0.307	14.816	0.249	14.597	0.683	12.949	0.961	26.277	0.68	21.091	0.578	21.854	0.497	11.26	0.526	17.181	0.543	20.708	2.242	16.717	3.128	22.252	0.25	27.808	0.898	24.615	1.086	25.688	17.183	25.823	2.011	26.14	0.638	23.412	2.775	22.815	0.596	21.906	0.381	23.923	1.637	17.529	0.873	12.291	0.485	23.409	6.131	20.179	0.865	23.216	0.942	13.28	4.902	10.539	35.36	11.823	0.385	20.431	0.48	19.797	0.333	22.728	3.563	15.335	0.223
