reference	S1	S2	S3	S4					
time 	area								
0	0	18.706	16.973	33.078	7.195	31.867	0.805	31.54	0.488
0	0	18.804	4.518	33.237	1.121	31.918	0.632	32.168	15.601
0	0	18.86	1.52	33.292	1.001	32.03	0.681	32.428	2.876
0	0	18.895	1.55	33.538	0.382	32.166	9.611	32.573	0.237
0	0	18.96	2.675	33.756	0.266	32.254	4.992	33.079	7.568
0	0	19.043	5.408	33.983	0.329	32.436	5.649	33.234	1.031
0	0	19.084	1.745	34.157	3.11	32.58	0.468	33.3	0.736
0	0	19.145	3.552	34.35	1.599	32.848	0.397	33.543	0.407
0	0	19.197	25.658	34.618	0.877	32.974	0.413	33.758	0.293
0	0	19.245	6.386	35.519	2.165	33.08	16.895	33.988	0.376
0	0	19.302	11.318	35.876	1.645	33.235	7.022	34.159	4.611
0	0	19.372	6.216	41.81	0.835	33.408	0.569	34.348	2.222
0	0	19.41	16.665	47.326	0.787	33.543	1.322	34.617	1.081
0	0	19.513	8.043	48.098	20.369	33.64	0.217	35.52	2.558
0	0	19.563	6.772	52.824	6.187	33.751	0.868	35.878	1.4
0	0	19.646	7.443	53.32	1.075	33.91	1.223	37.134	0.648
0	0	19.727	10.925	0	0	34.155	3.454	41.811	0.46
0	0	19.819	4.883	0	0	34.352	2.972	48.115	17.273
0	0	19.877	3.359	0	0	34.626	1.627	52.847	7.835
0	0	19.907	4.166	0	0	34.729	0.943	53.333	0.847
0	0	19.983	2.498	0	0	35.254	0.565	0	0
0	0	20.051	4.168	0	0	35.518	4.076	0	0
0	0	20.173	7.289	0	0	35.665	0.935	0	0
0	0	20.258	2.119	0	0	35.874	2.184	0	0
0	0	20.394	1.571	0	0	36.98	0.469	0	0
0	0	20.462	3.357	0	0	37.133	1.427	0	0
0	0	20.579	1.459	0	0	41.64	0.505	0	0
0	0	20.644	3.033	0	0	41.799	2.817	0	0
0	0	20.742	14.871	0	0	47.3	3.187	0	0
0	0	20.875	5.902	0	0	47.594	1.174	0	0
0	0	20.977	11.704	0	0	0	0	0	0
0	0	21.055	7.268	0	0	0	0	0	0
0	0	21.113	12.903	0	0	0	0	0	0
0	0	21.178	4.042	0	0	0	0	0	0
0	0	21.297	20.995	0	0	0	0	0	0
0	0	21.41	24.556	0	0	0	0	0	0
0	0	21.499	64.603	0	0	0	0	0	0
0	0	21.588	15.48	0	0	0	0	0	0
0	0	21.669	18.265	0	0	0	0	0	0
0	0	21.814	22.374	0	0	0	0	0	0
0	0	21.879	13.253	0	0	0	0	0	0
0	0	22.02	21.463	0	0	0	0	0	0
0	0	22.09	7.633	0	0	0	0	0	0
0	0	22.145	11.464	0	0	0	0	0	0
