"","M10","M12","M14","M15","M16","M17","M18","M19","M2","M20","M21","M23","M24","M25","M26","M27","M28","M29","M3","M30","M31","M33","M35","M36","M37","M38","M39","M4","M40","M41","M43","M44","M45","M46","M47","M48","M5","M6","M7","M8","M9","P10","P12","P14","P15","P16","P17","P18","P19","P2","P20","P21","P23","P24","P25","P26","P27","P28","P29","P3","P30","P31","P33","P35","P36","P37","P38","P39","P4","P40","P41","P43","P44","P45","P46","P47","P48","P5","P6","P7","P8","P9"
"P15",0.0635326923577706,-0.0122467337170763,-0.0150428768079865,0.547184674568723,0.115813650653753,0.157731597192327,0.20657941670811,-0.0654202609460117,-0.00296603049246725,-0.111946185150672,0.0799013576456605,0.0836670002367132,0.123932175722501,0.0436712845789185,-0.080690103212106,0.152287295344619,0.0660645827237149,-0.0954032987257473,0.0909301298982412,0.12341375473504,-0.00729329927722543,0.0145858067861904,0.0199866401751127,-0.130371331711125,-0.0667926111240286,-0.0215648345003987,-0.0118489599597363,0.0910986774777891,-0.0202271791877025,0.00213072043517254,0.155917563606389,0.0827843206723649,0.0824480599699784,-0.0518298728650382,-0.11070652114296,0.0203874783676762,0.0576362156672351,0.0200327965824279,0.0369862432708533,-0.0515600286228948,0.0957636467855757,0.0720405170101235,0.00816548437646612,0.0449756673606914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P16",0.234179136943111,0.0986590440805784,-0.00261793782457547,-0.00681845015640117,0.579712054259724,-0.00866004154547594,0.126629867455631,0.0518527861245741,-0.0869315016571753,-0.063006205486863,0.12650229020318,0.0209411823975258,0.0756030665380362,0.0139224276245535,0.0383933426358359,0.106597505545982,0.0400583737670278,-0.014391068177681,-0.0479176746282844,0.0416342951712035,0.0574008253169851,0.097747256763336,-0.023717289928615,0.0730282273168035,0.113237468335631,0.114714857591907,-0.0595992302186627,0.0827991299487527,0.0343430644212446,0.127776037989984,-0.00977687173262255,0.113698157591218,0.0977528740167561,-0.0928551169856807,-0.0706821032529999,0.106134851096054,-0.0474599136895044,-0.041271106612198,0.0103447863969191,0.0315535993360698,0.00175563928067567,0.145282997963069,0.117188687564352,0.108985071707457,0.074822414899208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P17",-0.0199754975527549,0.0374006026170733,0.0280399668822972,-0.0984453044922056,-0.0271142512917397,0.422325353691955,0.0346376688088521,0.0801170131668554,0.119520359015674,-0.0230036602317303,0.0396908556591186,-0.137722755271612,-0.0283197836283573,0.0172367697960303,-0.30194018963723,-0.00866880032620133,-0.0335829447651001,-0.225096648340081,-0.0580894436776871,0.0427216569184866,-0.132906186257428,-0.0946224211696809,0.0918650386514797,-0.0143294157349717,-0.0898567281170327,0.0826258813093134,0.0394323454005801,-0.000698749167713062,0.0606875954818824,0.0410551572519604,-0.00018485483039844,0.150315969457488,0.0631240332984868,-0.0847395386454912,-0.224864393173398,-0.0172764742413333,-0.00549948630169921,-0.0450248202399068,-0.059666523180449,0.0198409346268959,0.0586602579598215,-0.114153783325421,-0.0688056894128458,-0.0065544315487783,0.0125008989159275,-0.0726095282791827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P18",0.292916089295918,0.0495935277394624,-0.0784315076300513,0.0673264083091334,0.113494983179728,-0.0131058878154265,0.543803451021013,0.0265207836475141,-0.0788916134836316,0.102223039607466,-0.0242821037413519,0.119904784685018,-0.0151363546211293,-0.0937486540721543,-0.154291718040962,-0.0802336335225353,0.175952604241079,-0.0325657962004899,-0.0223644865172159,0.148013469777739,-0.000868271457739597,-0.0342308196270677,0.0305599377813784,-0.127791026589011,0.120674695174093,0.0424125700983975,-0.0445244699800845,0.0860156493694683,0.0311660629998177,0.245072206653508,-0.0146226586152349,0.00872036993507862,0.00988700115094301,0.0493007045588045,-0.00315726209221258,-0.0460855848734257,-0.0729792492006498,0.0108096496570928,-0.00728389359912508,0.111378308683542,-0.0743226596243809,0.169397667215828,0.0437121282415461,0.0434718699249948,0.03127218876564,0.33318673231485,0.154092251440427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P19",-0.0567841443754178,-0.189815052335216,-0.108078404172406,-0.0503081352240609,0.100445322676857,0.25425739554476,-0.0109237017412147,0.553631956968843,-0.0793373354404337,0.0677138542840538,-0.108676091957555,0.0339485578525855,0.0282190579168752,0.114206129865297,-0.158025484454456,-0.00171250800186816,-0.00652101480682428,-0.00321937313844613,0.00651241534700676,0.0200909342912375,0.108921389383201,0.0360889707695977,-0.0496883067165809,0.0297339003374204,0.220408229806544,-0.0124346848651552,0.0376776973455348,-0.0370624598341871,0.0348632674424768,-0.0484601652664048,0.0346342989834542,0.0517812366067879,-0.0349052479302384,-0.0530658121699779,-0.016780306800325,-0.0350341682304071,0.158372596939315,-0.0673571667484291,0.159325015557266,-0.0374125145208604,0.0362864710512258,-0.0189140582226919,-0.0909554925743531,-0.0343283628348297,-0.0169394100919893,0.0406320254928545,0.0543056072371743,-0.0497732867465553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P2",-0.00889691490273502,0.0664596864252142,0.0589821940586841,-0.0681259959612455,-0.138825547211709,-0.0222839884163963,-0.0977762075543494,-0.142329669122655,0.28817950123824,-0.0600921503881805,-0.0111366942437113,-0.067976364118756,-0.0881472236748183,0.186676570890396,-0.175893693087162,0.0239273445796346,-0.134415383110431,0.0717557529185507,-0.0397939011860296,0.0649389257601447,-0.100682098942579,-0.0228446396842906,0.135752581228662,-0.380328858550207,-0.0508588272183179,-0.0293992566038928,-0.00982505163419267,-0.0872841611642907,0.0175572835964507,-0.0232737860026922,0.039907591649928,-0.060966170363479,0.0147034654738446,0.0454034798045526,-0.221990158203711,-0.213985950946264,0.0277114258347732,0.143553068039543,-0.0332837775150181,0.21382805824337,-0.0218071056686112,-0.0550717725352242,-0.142353582451529,0.0599943747418809,-0.0763226464165733,-0.109264131688711,-0.0823020802820501,-0.0654890289533757,-0.149777767937453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P20",-0.0143875190416053,-0.0134749053035115,0.0671505830740416,-0.0452867610013341,0.100101793630859,-0.0415775509683905,0.138685980381705,0.0231166379384282,-0.103079485958593,0.498018458998143,0.00916100393731908,-0.00458090455203052,-0.0895782252261203,-0.0999602363624913,-0.213251870750437,-0.0404102778959023,0.078273538315943,0.0913542220762333,0.0883569627033084,-0.0028352536969136,-0.0210223245865411,0.0225917161914315,0.0979481406094962,-0.0855015289805658,-0.0402515795871164,0.00597388102466898,-0.0127311851201571,0.0730328206997136,0.0552953447237845,-0.0495591476374519,0.0122646596397355,-0.00124230454444867,0.0598812231614907,-0.109972521365484,-0.0501583278835902,-0.132590565815764,0.0640585658257488,0.044150751233853,0.0511959301836097,0.0922163539135478,0.0140681297508233,0.00928466963830456,0.0522234262631327,0.0931297070978166,-0.0406201843906772,0.0203255211546869,0.00221326946818457,0.158182362448677,-0.035988531034087,-0.0338549445058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P21",-0.0921980750302798,-0.0829570390194456,0.12369893186005,-0.0853197798966778,0.103422282736421,0.0114143333400595,0.131375425732774,-0.062420005347258,0.0106576973312683,-0.0119701768618528,0.548941509764312,0.0957427214610381,-0.0979672893863752,0.110553736458923,-0.17545559728783,-0.0127213109618246,0.150287500837959,-0.0605650398808168,0.118495786923852,0.0880204992196661,-0.0193168782793723,-0.0319787759967387,-0.0107892120273759,-0.0415658182945229,0.00336750362949567,0.00266714943112671,0.0103563491954022,0.0478451655463241,0.0153860141188124,0.0884329307727548,0.027956814995824,0.142630512405485,0.0807276904295898,-0.0500764475637547,-0.0952591136498031,-0.00996120603767566,0.123118296442027,-0.0209408502771648,0.0202730980077535,0.0310437654730441,0.0709809063083459,-0.0887175647948662,0.0237000970086489,0.0418095651836137,0.0372312523365773,0.0996065222643523,0.0984747870013228,0.0850486844363201,-0.0571294682468894,-0.000443337418422698,0.0891944234645795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P23",-0.0268077671738795,-0.13898670113255,-0.0152520744787388,0.134011878521682,0.0222804305375632,-0.0428627893856119,-0.010211599426165,0.00457625527435364,0.077641093055946,-0.13045942346941,0.0344914008148914,0.497468849008223,-0.0405974756966992,0.0441978741706139,-0.00826387283238475,-0.00917371923519878,0.000699704630966876,0.0727160733637161,-0.0890210680549858,0.0483094376960151,-0.0884394862879274,-0.00290413427612898,-0.0618152848039725,-0.084746551152865,0.014299861108307,-0.0354192025871473,-0.11717159557367,0.0430035551548557,-0.0596468510914748,-0.0135304977375765,0.0200710506963951,-0.0745602775113726,-0.0122288818363189,-0.0791805263617174,-0.0931463281078622,-0.0434455699555015,-0.0465386804678748,-0.107443655467689,-0.0529724907660051,-0.0370535802391791,-0.0206359711048299,-0.130908316931778,0.0334327703967308,-0.03810409008489,0.056928313387091,0.101232253449186,-0.111957039302241,0.0365418883110386,-0.0316690819700162,-0.0763900634142195,-0.0527468782410235,0.0249627008227784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P24",0.0287387055526539,-0.0296700580744435,0.0537296380085682,0.0137994616930844,0.165519257889242,-0.0140835475343312,-0.0462879638960288,-0.100374231419963,-0.141028293766553,-0.00846897005631085,0.164308283453962,-0.0731624788533987,0.474484255225617,0.0133333961363694,-0.18961915503356,0.00583806463971152,0.0448822693498503,-0.0691069673900246,-0.04533956006762,0.00140916425746437,-0.181136577475544,0.0497804817375446,0.0984570853743821,0.0214016379315878,-0.25150446951251,-0.0403037908316456,-0.124432260529345,-0.0803171162369915,-0.0584072163576756,0.113200795860625,0.0948858841893513,0.107494634196893,0.0666919166608392,-0.0574679346338784,-0.0625768601469939,0.0526825762763073,-0.0439722853419915,-0.0482115573871594,0.0466607809846913,-0.0927996870250748,0.0646802066507018,-0.0702305347022842,-0.0099528114679266,0.0501103125450753,0.122525304141807,0.189175446752662,0.0960310481558976,0.0223530955271752,-0.0740252799695878,-0.195607540146872,0.202203672152971,0.087737598153486,-0.0878697589996142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
