C3	C2	M2	M3	M4	M5	M6	M7	M8	M9	M10	M12	M14	M15	M16	M17	M18	M19	M20	M21	M23	M24	M25	M26	M27	M28	M29	M30	M31	M33	M35	M36	M37	M38	M39	M40	M41	M43	M44	M45	M46	M47	M48	P2	P3	P4	P5	P6	P7	P8	P9	P10	P12	P14	P15	P16	P17	P18	P19	P20	P21	P23	P24	P25	P26	P27	P28	P29	P30	P31	P33	P35	P36	P37	P38	P39	P40	P41	P43	P44	P45	P46	P47	P48																																																																																				
time	area																																																																																																																																																																						
11.28	3131649.487	8.82	5519147.995	9.9	6953875.34	11.48	2408937.463	12	7594838.338	10.96	1747970.019	8.15	83010605.73	6.61	2860374.826	11.22	1036286.729	10.29	5868608.351	10.2	6745378.28	7.45	4262178.894	17.42	2574386.871	22.48	1497743.04	6.82	1328706.799	8.14	14033663.14	9	3745880.468	6.4	1582032.113	13.73	818394.731	6.92	3669694.725	9.25	8076975.658	7.32	1867675.681	12.95	8175597.312	6.75	2382974.761	10.2	6253598.532	10.19	8569908.918	6.34	2567261.434	14.17	889573.705	6.94	2393807.135	6.57	1578654.344	10.43	4830676.949	14.06	6633343.74	7.37	4088592.67	10.29	3645864.957	11.95	1894342.019	11.35	23447819.7	11.84	1499091.539	8.12	72154046.48	11.35	10185875.6	10.23	28536205.85	11.67	3207151.592	10.3	1531447.025	7.05	5364139.2	8.9	5594121.752	11.73	2687258.514	11.28	2304790.4	11.18	5188685.89	6.69	2330833.727	7.51	7880831.538	10.86	1375913.009	10.59	1990821.591	11.67	17630290.93	6.85	765516.116	16.39	1749089.023	12.64	2018983.666	8.48	37781852.8	8.87	4572419.518	9.03	2204727.855	6.93	3128547.027	19.39	5210748.751	6.66	3183664.366	10.76	5609658.289	6.89	2601777.722	13.79	2578817.862	6.82	1214436.345	7.2	1066829.186	12	5097476.328	6.65	9322768.511	9.69	7275401.361	6.88	1548118.845	7.05	1564082.218	12	7176313.466	12.26	1873767.82	6.96	1473894.641	10.7	5281331.155	12.13	2859457.638	10.18	8987719.529	11.84	2277888.498	7.7	4615844.639	10.43	15764508.01	11.56	2648088.632	11.61	2159192.535	11.05	3255907.936	6.72	16615773.26
11.36	19330635.32	8.86	5483926.798	10.29	19758633.48	11.56	1947008.171	12.12	1792196.24	11.18	5469196.363	8.48	13963547.24	6.66	3059024.725	11.28	1957774.31	10.43	11235375.22	10.44	5558931.884	7.5	4202965.195	17.69	5642829.806	22.76	1639081.846	6.88	3326846.466	8.2	6728834.001	9.69	2006139.151	6.45	2437070.258	14.17	819525.231	7.3	1524850.777	9.71	13077146.56	7.36	1822207.963	13.05	1934659.324	6.83	1665961.577	10.42	6436909.647	10.45	4831218.818	6.38	2316318.78	14.47	308475385	6.97	1766733.365	6.62	2536293.736	11.18	4024465.7	14.18	1698319.011	7.48	8209009.71	10.43	4057796.432	12	4615467.055	11.48	2047579.511	11.95	1571440.072	8.46	7665592.992	11.67	14861355.03	10.44	29370978.35	11.73	6107678.764	10.43	7999112.323	7.31	2004062.112	10.31	2633818.083	11.84	2483641.026	11.35	21078603.59	11.28	1900149.607	6.74	957705.01	7.55	20586472.32	10.96	2617273.712	10.69	1704184.117	11.85	3613288.405	6.92	4957677.222	16.89	1121638.188	12.95	3674581.602	8.77	55032187.27	10.44	3489770.723	10.2	1585527.198	6.98	3217489.46	19.43	9267405.416	6.7	1826995.669	10.9	6947704.276	6.93	4719416.184	14.33	1270448.191	6.84	2300463.801	7.23	967722.818	12.26	1109869.516	6.7	9443408.943	10.15	4303502.107	6.91	2110170.231	7.06	1774051.127	12.14	2228144.661	12.54	2985292.517	6.98	1280906.036	10.87	2246933.928	12.25	2468118.52	10.29	2593677.398	12	6389653.853	7.77	2119240.331	10.88	2547674.786	11.66	10130951.52	11.66	3608523.364	11.14	1132404.166	6.79	3514231.598
11.42	6415321.016	8.98	3886634.582	10.44	7010700.153	11.68	17405108.4	12.25	1555900.225	11.28	2901318.566	8.86	46391557	6.73	1936890.684	11.35	8115482.867	10.75	3416889.323	11.19	3554811.91	7.52	1031196.718	17.76	1755328.798	23.31	1663299.993	6.93	6288002.924	8.77	4799308.024	9.77	1773798.355	6.51	6170266.729	14.33	1105058.11	7.33	441662.529	9.76	7529634.315	7.39	3692356.064	13.26	1655676.54	6.89	3657123.016	11.19	6664553.89	11.2	5708717.768	6.49	2093990.461	14.69	2079486.702	7.02	3847322.045	6.65	2996133.514	11.35	11056732.54	14.34	1739293.543	7.54	9334259.27	10.47	2543748.285	12.25	1795891.039	11.57	1562051.956	12	5671479.026	8.52	3470326.232	12	2892156.021	10.71	3194776.533	11.85	8548776.483	10.87	2828457.169	7.36	4297254.16	11.19	2391080.766	11.94	1001037.934	11.47	2696014.296	11.36	18767334.97	6.79	2867371.47	7.73	1554250.236	11.05	2305321.589	10.75	4043248.009	11.94	2118037.094	7.41	5050854.238	17.69	4520691.128	13.68	2186220.731	8.85	80605145.4	11.18	2640914.945	11.19	2310543.411	7.27	4835106.305	19.72	3176853.09	6.73	4245898.389	10.96	6890233.801	6.98	3800043.083	14.47	183515953.7	6.9	797613.614	7.28	2591803.633	12.54	4178116.179	6.75	6601114.582	10.29	3409712.483	6.98	3161344.096	7.32	4004268.776	12.25	2253760.678	12.68	1343812.24	7.04	3361333.639	10.96	2444264.833	12.55	14068523.22	10.43	5434378.531	12.25	1362646.816	7.89	1452115.138	10.96	2636910.929	11.72	7323104.235	11.73	7337379.568	11.19	10381397.92	6.83	4758367.216
11.48	3926360.422	9.02	3694656.888	10.59	1612797.654	11.74	4497818.252	12.96	4132311.691	11.35	17046939.07	8.96	10881074.36	6.74	960336.46	11.67	11436400.84	10.86	4341116.486	11.29	1647330.561	7.56	4837751.085	18.47	2458431.171	24.11	2304118.702	7.02	5089475.33	8.81	3458665.832	10.19	5967371.716	6.57	2567340.519	14.47	285489529.9	7.39	4322457.826	9.91	6749380.883	7.47	8256762.864	13.72	3158584.614	6.97	2533649.531	11.28	2869150.831	11.31	1944589.984	6.56	2202452.104	14.74	3592305.546	7.08	1152731.502	6.74	8867637.249	11.61	7305663.21	14.48	499682036.2	7.62	3447132.714	10.95	1336192.59	12.54	8090595.12	11.61	7196339.441	12.13	2182501.263	8.79	14201228.93	12.54	2083225.76	10.97	16979297.51	12.01	16195557.16	10.95	2079571.916	7.43	854289.563	11.28	1492793.696	11.95	1185931.229	11.55	1907817.302	11.47	2005083.867	6.81	833545.052	8.15	134879124.6	11.18	4265232.828	10.87	6929968.557	12	5415640.944	7.44	1664360.901	17.76	1285798.446	13.79	14524756.34	8.96	25887899.93	11.37	6532704.216	11.36	7614590.395	7.34	5931442.015	19.77	2366936.915	6.81	3412278.521	11.06	3178067.052	7.02	1698818.895	14.69	2111364.336	6.98	2802434.609	7.31	1477774.974	12.97	4726941.111	6.83	14990580.18	10.42	8027901.037	7	1768223.855	7.37	10632183.86	12.54	5598365.264	12.73	911778.662	7.06	1113325.936	11.04	1991801.063	12.67	3669085.086	10.67	5110644.773	12.54	2729880.163	7.91	1444530.507	11.05	2109245.365	11.8	4858914.609	11.84	12293462.81	11.29	5654181.93	6.88	8419537.026
11.56	2753715.727	9.19	3111759.334	10.75	5323787.323	11.84	3934569.793	13.06	1394180.513	11.48	1733952.187	9.25	6709869.092	6.79	3917562.805	12	3549648.955	10.96	3566634.534	11.36	11385785.39	7.6	8678238	18.55	3841373.056	24.42	1567698.44	7.1	5380701.225	8.87	5472875.465	10.3	1157904.397	6.64	5339944.265	14.73	4152082.125	7.51	14121383.66	10.31	25025588.19	7.53	8035603.576	14.16	1496564.85	7.02	4997732.095	11.36	10177288.71	11.36	10999765.63	6.6	2832518.118	15.05	9075507.764	7.11	908221.115	6.8	5292261.93	11.67	11301555.32	14.75	10274255.44	7.68	764293.994	11.19	5589646.729	12.97	11280289.33	11.67	24235464.66	12.25	1899105.341	8.86	28152358.49	12.97	4979358.358	11.08	3788107.013	12.14	5228332.712	11.18	4627719.745	7.45	2410498.643	11.37	8035484.902	12	6324743.39	11.6	4042609.13	11.56	2186445.375	6.83	3249496.945	8.47	23331959.73	11.29	1450065.577	10.95	7423826.68	12.25	1875648.882	7.5	4046050.442	18.47	777786.703	14.16	1796815.985	9.18	2714873.162	11.68	11162294.37	11.61	1690236.004	7.41	11446057.84	20.51	795845.823	6.89	4872475.109	11.21	24447589.78	7.04	4525755.11	14.74	2269981.899	7.04	2629634.493	7.42	10001842.36	13.06	1322213.406	6.91	1124181.626	10.87	1879923.35	7.03	3264629.736	7.45	10130875.04	12.68	2082510.872	12.97	10719771.09	7.08	1062608.447	11.19	8597527.847	12.73	5076909.122	10.91	23330891.92	12.97	6137189.611	8.15	115866964.5	11.19	14318205.83	11.85	7368266.827	12	18327111.3	11.36	39938955.22	6.94	2756560.568
11.66	2036477.711	10.17	4567985.819	10.87	6410421.401	11.95	3352949.565	14.17	1037382.34	11.66	16309671.36	9.74	2814269.442	6.85	1443317.62	12.55	2238684.559	11.03	2518384.283	11.62	1427401.495	8.11	21890210.22	18.64	2260618.671	24.87	1459377.742	7.39	4164926.802	8.97	2406312.972	10.31	897600.605	6.76	13988821.14	15.45	13810339.21	7.58	4259300.775	10.48	9061381.968	7.57	8379069.911	14.33	976488.638	7.15	733779.629	11.68	14304894.96	11.69	20549560.06	6.62	2196931.931	15.2	1589305.742	7.3	2298115.495	6.86	5490664.573	11.73	2702883.872	15.06	18470450.13	7.71	1839338.926	11.28	2138796.11	13.06	2610325.574	11.84	4406877.297	12.54	2780951.235	8.97	5481626.269	13.06	1180846.58	11.26	173758765.4	12.26	4552683.257	11.28	2360688.264	7.53	7477306.44	11.43	3895960.899	12.13	1498185.523	11.66	13502926.17	11.67	11456089.38	6.89	1121320.413	8.78	36953768.78	11.35	15603767.53	11.04	7663325.683	12.54	4418735.125	7.55	1759692.095	18.55	2671017.85	14.47	185628003	9.25	10577971.27	12.01	4357948.908	11.68	6465878.988	7.48	16419151.26	20.61	4302435.887	6.98	2858316.941	11.29	13593578.29	7.14	2231194.385	15.04	1371501.005	7.1	2518140.214	7.5	35350707.5	14.06	1627284.592	6.92	3620733.734	10.95	1753601.82	7.16	4248549.449	7.52	50644367.31	12.73	1061716.362	13.06	2783859.391	7.09	2539386.409	11.29	3555602.198	12.97	22659332.64	11.19	6451087.539	13.06	820965.023	8.48	19833146.37	11.28	3525258.292	11.96	4994438.72	12.13	4075023.205	11.47	3778006.503	7	2543553.383
11.73	3326500.766	10.31	2358570.506	10.95	6169825.142	12.01	8406911.064	14.47	242869274.8	11.73	3014900.692	9.77	2596453.523	6.9	1749594.325	12.97	3818411.587	11.12	755625.925	11.68	15695380.82	8.13	29298184.38	18.9	1154110.74	26.79	10018669.11	7.44	4730375.264	10.19	6852529.167	10.44	5294811.86	6.83	6482378.963	15.73	1320504.384	7.63	2830816.541	10.76	5927191.291	7.67	5226774.149	14.47	354300635.8	7.21	2575883.848	11.83	2563041.321	12.01	5064505.99	6.69	9913202.658	15.45	23077542.46	7.35	2673804.33	6.9	5356388.35	11.84	2631225.211	15.16	2162678.66	8.13	71364568.64	11.35	16912387.27	13.27	1452891.133	11.95	2956231.094	12.65	1499324.047	9.75	4597400.784	13.73	1753216.893	11.36	33805313.51	12.4	2341869.681	11.35	16341419.99	7.58	2994135.824	11.47	2623965.414	12.26	1704978.084	11.72	4454666.268	11.73	3483780.4	6.92	1461919.037	8.84	43624810.38	11.47	1807302.141	11.18	14252035.23	12.96	7739699.362	7.59	4199153.592	18.63	1571131.663	14.69	1316989.914	9.69	5913033.132	12.54	2451857.494	11.73	1322865.91	7.58	10173951.01	20.72	1733326.144	7.06	3186518.188	11.37	77207751.62	7.17	3050328.121	15.45	10900913.03	7.16	1903062.858	8.15	107718469.2	14.18	2178198.182	7	1795637.593	11.04	1115793.767	7.23	2407079.903	7.71	7482982.414	12.97	13383459.94	13.26	2173836.145	7.3	2916970.333	11.35	16659206.46	13.06	5202203.906	11.29	2660759.799	13.73	1685825.582	8.78	25970094.71	11.35	23422155.31	12	10756534.13	12.25	4460092.131	11.61	30269240.73	7.02	1333044.51
11.84	4584360.968	10.43	5847743.434	11.04	7193060.094	12.14	3034883.724	14.58	1938602.788	11.81	3185598.934	10.32	7389693.439	6.91	962232.1	13.07	893886.352	11.19	8784155.186	11.82	2981516.14	8.31	1002637.576	18.97	1697887.862	31.41	10401115.72	7.5	1096548.155	10.44	6427603.529	11.18	4619947.085	6.86	13694588.46	16.39	3980998.124	7.7	2369006.667	10.88	6293862.243	7.71	2349778.907	14.69	2014564.805	7.53	3287900.049	12.01	4141190.168	12.27	1606578.097	6.81	15899109.11	15.54	7877083.932	7.45	6385635.676	6.96	2403333.112	12	5423654.675	15.21	4226802.646	8.46	12473861.31	11.48	1610079.487	14.05	2113128.736	12	9081538.242	12.96	6637219.625	10.19	9578731.997	14.34	1284965.332	11.5	3082942.493	12.55	22989689.37	11.48	1704600.606	7.63	5066193.453	11.73	981626.732	12.54	1385691.311	11.83	4318769.466	11.84	4038971.496	6.95	2421197.726	8.96	15787720.33	11.56	1969458.428	11.28	6519709.258	13.06	1655569.297	7.9	1783616.516	19.39	19296145.84	14.73	1397186.838	9.75	6831052.579	12.97	4523350.488	12	4696600.052	7.69	9120888.689	21.12	1917456.936	7.33	2978654.061	11.48	9129907.022	7.24	2024938.002	15.53	5664923.008	7.26	3465418.195	8.39	1003637.89	14.48	308244524	7.32	1644336.381	11.17	7002014.673	7.32	5245635.012	8.12	263594933.9	13.07	3522909.787	13.73	3173901.802	7.43	12844495.67	11.49	1480085.192	13.13	1429038.234	11.36	15119702.44	13.8	2053505.566	8.85	37997604.63	11.47	2150851.215	12.13	5382775.01	12.55	28937780.35	11.67	37533594.28	7.05	1309021.022
12	11273210.83	11.18	3151840.147	11.17	9468677.045	12.26	2581711.3	14.74	3317283.995	11.95	2197958.596	10.47	2609281.667	6.94	1075079.24	14.34	928654.11	11.28	5012146.867	12.01	5390839.415	8.45	5219053.227	19.4	35279022.87	33.61	5414544.504	7.53	2060166.102	11.2	5129425.518	11.28	2296558.682	7.46	2431652.479	17.09	893938.266	8.15	67969743.95	10.96	6745887.599	7.75	2723466.857	14.74	4073844.305	7.73	3943993.278	12.55	3202437.125	12.55	3595648.273	6.88	1983075.209	15.59	2384227.038	7.5	5692884.854	7	1696380.306	12.13	1477580.27	15.38	2163173.988	8.56	1787267.608	11.56	1704788.202	14.34	2420184.697	12.11	5539508.249	13.69	1073006.399	10.43	12477133.28	14.48	293108029.1	11.63	3087518.378	12.67	4099705.413	11.56	1043424.346	7.72	2568288.524	12.01	3659425.943	12.97	4171675.281	12	12191053.08	11.95	2657439.498	7.01	1127879.467	9.74	5039509.356	11.67	12289063.16	11.35	48682407.87	13.26	1818685.003	7.95	1399961.54	19.72	3977870.476	15.5	1265791.996	9.88	5568939.655	13.07	1143876.719	12.55	1472946.596	8.13	95798041.64	21.29	1719427.071	7.38	1934541.567	11.57	5897855.116	7.31	2609390.906	15.74	2085831.327	7.34	3802417.986	8.51	14448012.24	14.75	4153774.749	7.35	3875291.178	11.27	3964512.261	7.44	11792990.65	8.31	1365303.458	13.13	1165327.582	13.78	1962675.387	7.51	16592887.22	11.56	1366012.743	13.17	1580045.165	11.47	1299939.366	14.18	1003181.892	8.95	14044049.87	11.55	2007080.457	12.22	11344702.05	12.66	3462703.389	11.73	9312967.323	7.34	3509628.686
12.14	2867731.087	11.29	1442678.417	11.28	8301852.521	12.55	3259776.061	15.45	767940.22	12	5870052.017	10.9	1591743.943	6.95	3947654.289	14.48	218255787.2	11.35	30406198.16	12.26	1203855.064	8.53	3838621.697	19.72	3542441.946	34.21	9560614.279	7.54	2583067.737	11.37	7976062.84	11.36	12493309	7.48	1550960.16	17.45	2656802.483	8.48	11423741.87	11.06	4589530.089	8.06	38786118.94	14.87	1001831.345	7.82	3029584.262	12.97	4927328.5	12.98	5515079.873	6.9	2926275.988	15.74	1712025.937	7.54	5365737.027	7.05	2369312.485	12.25	1441509.778	15.46	67017884.53	8.83	37716545.44	11.67	19345231.43	14.48	381875254.7	12.25	2298004.479	13.72	1854967.782	11.19	9050127.293	14.7	1331029.072	11.69	35376760.67	12.73	1637625.781	11.61	12883517.68	7.91	1834283.221	13.07	1014563.404	14.18	1380028.094	12.13	2503682.962	12	7841475.891	7.04	988077.557	10.18	4519025.611	11.84	2708412.631	11.46	7549641.501	13.73	3229763.455	8.15	65105148	19.77	2065241.141	15.57	2021594.858	10.29	19078219.06	14.18	1774870.482	12.97	2996056.597	8.28	1316333.564	21.57	856628.371	7.43	4022991.562	11.67	6711206.751	7.35	2431392.089	16.28	1152883.581	7.37	2039548.7	8.79	25294203	15.05	2747564.384	7.4	2175759.602	11.35	18841721.46	7.5	7134436.168	8.48	41498268.63	13.27	2136088.283	14.34	1259038.867	7.55	11073641.01	11.61	2795010.881	13.26	3874454.733	11.61	2425736.653	14.48	235356893.3	9.77	5403114.184	11.67	23888300.6	12.28	16923061.26	12.73	3796685.252	11.84	5906409.302	7.39	1343082.71
12.25	2388773.682	11.36	12708311.32	11.35	52922569.81	12.97	7249496.05	16.78	1452091.781	12.12	1679001.499	10.97	2003055.716	7.21	1750995.006	14.75	1892077.354	11.47	3471776.073	12.55	2937555.18	8.85	28980203.51	19.78	1932557.892	35.81	57400965.76	7.6	3888509.483	11.69	14996361.07	11.61	4577381.953	7.51	1374605.795	17.69	10146520.46	8.79	15223367.72	11.2	24794953.22	8.12	72606473.41	15.04	1886514.675	7.93	1730104.114	13.73	1324676.801	13.08	1210746.956	6.93	2163880.056	16.28	2047459.282	7.62	1514391.631	7.16	5323144.023	12.55	2748484.211	15.54	9717524.4	8.97	8645720.018	11.84	2606402.766	14.62	1043255.478	12.54	2778370.607	13.8	6254979.208	11.29	2238190.726	14.75	1857066.292	11.81	4762219.114	12.8	2409223.031	11.67	13076938.46	8.07	23878813.39	13.99	3921231.361	14.34	1186994.298	12.24	2268946.163	12.13	2230786.467	7.06	1946933.805	10.22	3955590.032	12	8876518.877	11.55	7474212.372	13.8	1559860.25	8.42	1535516.84	20.51	1264266.41	15.74	23131284.96	10.44	23628493.44	14.34	938192.841	13.8	3132337.049	8.42	2050392.809	21.62	2683971.047	7.48	4529504.513	11.74	14969610.27	7.38	1220408.006	16.39	4176744.065	7.46	9343527.495	8.86	29323527.93	15.46	5592662.029	7.43	4704510.902	11.47	1356760.989	7.54	12787728.05	8.61	4010560.107	13.73	2976553.007	14.48	249199532.9	7.62	12124311.83	11.67	17464316.7	13.39	1693558.482	11.67	18635699.7	14.7	1587426.616	10.18	13216537.62	11.84	3606732.328	12.4	4816907.826	12.8	1727793.239	11.93	5709486.039	7.43	2483873.898
12.55	2890640.096	11.48	1626444.254	11.41	18493588.36	13.07	1557086.173	17.07	1240904.437	12.25	1622527.449	11.19	6844849.465	7.39	5666284.111	15.05	1786365.724	11.56	2885187.057	12.97	5464263.532	8.96	5253125.131	20.51	892004.606	36.06	5456281.402	7.67	3398482.453	12.01	2692758.909	11.67	14186347.08	7.54	3073674.458	17.76	3301224.297	8.84	18867843.88	11.29	13376206.98	8.46	10322686.75	15.45	21879508.32	8.13	16253458.68	13.81	1832297.779	13.75	1580411.682	7.02	6023946.779	16.39	9294911.683	7.68	2987044.712	7.26	3524027.34	12.65	3545336.971	15.6	6620097.793	9.21	5211522.392	11.94	2395978.224	14.69	3199824.088	12.97	8538115.295	13.88	2043308.277	11.36	19052394.82	15.05	2542853.144	11.86	4570204.574	13.07	5588377.654	11.73	3054479.365	8.1	12202453	14.18	3180002.053	14.48	182712645.4	12.54	1450474.043	12.25	1866475.545	7.4	8602463.569	10.3	5781749.707	12.14	1816436.926	11.66	32511276.93	14.17	1054774.881	8.45	4476760.628	20.62	2227573.328	16.46	2114459.274	10.89	3298918.245	14.48	243458148.3	14.18	910723.762	8.48	12897769.24	22.48	4791438.42	7.58	16776412.15	11.85	17479635.02	7.4	1585128.648	16.45	1525073.737	7.54	1988864.878	8.96	10677026.24	15.51	3554159.725	7.48	4042858.978	11.55	2244998.969	7.68	2468424.242	8.78	39280378.43	13.78	3446955.166	14.58	2578888.762	7.74	946608.358	11.85	3435959.127	13.73	7250265.26	11.81	911817.221	14.75	1768392.556	10.3	4724774.99	11.93	2602145.065	12.45	2964618.452	13.07	5495891.905	12	15284043.2	7.47	3330596.878
13.07	2335565.36	11.62	2327774.412	11.47	10947456.11	13.12	897126.985	17.69	4286981.988	12.53	2538533.016	11.29	2862828.326	7.47	3559223.237	15.46	4972202.325	11.61	2142279.337	13.74	1777434.732	9.67	2195693.563	20.62	2340003.72	37.55	4620701.825	7.75	2452179.63	12.55	3019400.827	11.85	1692229.667	7.58	2580721.95	18.17	1364620.209	8.97	4506810.431	11.37	103882844.5	8.55	2455824.286	15.59	2970336.502	8.19	11945512.51	14.18	1465411.717	14.07	1434943.61	7.42	1102952.22	16.46	3497678.248	8.14	76331521.74	7.3	1834436.337	12.96	6779372.315	15.69	2851238.03	9.67	1150586.942	12	6046617.736	14.75	6114338.837	13.07	1717624.71	14.17	2392060.963	11.61	2013346.598	15.46	1347309.228	11.96	2470390.571	13.21	3650801.895	11.84	2439057.188	8.14	27105608.79	14.34	1421775.594	14.74	2383387.126	12.96	5874703.52	12.54	2490652.432	7.47	6103138.195	10.46	9187687.634	12.25	1484192.008	11.72	9684001.726	14.33	932202.58	8.53	4036315.726	20.72	1346708.323	17.42	18295395.37	10.96	4944415.011	14.7	1252537.446	14.48	164464972.3	8.77	21731412.43	23.31	3787415.766	7.68	965358.662	12.01	37367327.71	7.43	1723165.173	16.89	1522326.603	7.67	7134128.352	9.04	2461120.994	15.74	1939801.217	7.54	14447597.79	11.66	17125770.46	7.93	1511345.198	8.83	93576790.41	14.18	1764174.52	14.7	2705167.855	7.77	1226421.138	11.93	1137911.772	13.79	6136553.388	11.84	1169970.297	15.05	1432230.839	10.44	10437289.61	12	7959608.315	12.56	15864655.94	13.18	6173784.346	12.13	5107534.823	7.5	1984218.048
13.99	4964957.47	11.67	11313076.81	11.56	8693759.652	14.18	1962625.946	17.9	1098540.98	12.96	6791460.86	11.36	32376168.64	7.5	2312966.474	15.51	2589563.955	11.67	27200779.65	13.86	1175943.294	9.7	430968.753	20.71	2072663.685	38.46	1314270.854	7.83	1379931.394	12.97	4839327.969	11.96	1434514.396	8.09	46756141.42	18.47	3080668.168	9.04	2630145.734	11.57	10303406.05	8.77	24472486.98	15.73	1319871.079	8.67	733108.317	14.34	1194213.754	14.19	2477751.421	7.45	2245794.44	16.72	1720957.487	8.45	5611731.763	7.35	2541956.852	13.06	2431929.045	15.74	4232047.061	9.74	6984112.466	12.25	1633628.453	14.88	3127926.926	13.12	1041070.972	14.47	368418921.7	11.67	19180938.42	15.51	2260220.979	12.02	9001790.074	13.23	2282384.041	11.96	1976596.383	8.39	1862527.17	14.74	1800517.062	15.05	1100007.618	13.73	1946829.769	12.96	5149178.349	7.51	10368355.95	10.88	2869444.452	12.96	4130976.443	11.83	8966154.63	14.48	260955363.4	8.83	43418657.16	21.13	1492648.793	17.69	10699168.31	11.06	3523337.62	14.75	2358761.628	14.75	1695270.342	8.85	30819489.74	24.1	3527859.053	7.7	1468183.585	12.15	10722027.4	7.49	2365050.572	17.14	1536317.319	7.71	6023353.987	9.79	4590288.004	16.4	2051288.841	7.62	5330594.118	11.81	4847539.743	8.13	80551717.51	9.24	11120932.44	14.34	2259631	14.75	4146423.355	7.91	2348631.982	11.96	988809.869	13.86	3146965.641	11.96	1718857.413	15.46	12775421.69	10.95	4861313.429	12.13	1956012.85	12.66	14572631.7	13.24	3212368.789	12.25	5485293.636	7.55	3482038.443
14.13	1589415.806	11.82	2539381.449	11.66	6523303.775	14.34	1705186.426	18.17	1512571.043	13.11	784718.358	11.57	3431024.463	7.54	11510646.29	15.74	931619.119	11.72	8408024.374	14.19	1352336.629	9.74	5920595.974	21.29	5562679.871	38.5	3295371.597	7.97	2083028.016	14.48	326123893.2	12	4478887.839	8.11	37528899.4	18.55	6435525.788	9.74	2691375.777	11.67	8086042.95	8.82	12650828.1	15.95	1002164.427	8.75	3761849.16	14.48	290446992.6	14.35	1202113.317	7.48	2314724	16.79	3627189.615	8.51	5352180.756	7.39	2634816.613	13.7	923531.482	16.21	1862706.751	10.18	9583396.075	12.54	2154672.744	15.05	7444592.754	13.73	2225425.994	14.7	2728816.231	11.81	1204016.834	15.74	1030925.721	12.15	2942934.879	13.73	3331037.732	12	6189069.224	8.41	1193927.204	14.8	1735255.54	15.46	2686708.008	13.79	5224226.722	13.06	934973.804	7.6	4071326.965	10.96	4571073.258	13.07	1113719.395	11.99	28566186.97	14.7	2103896.498	8.95	11026235.68	21.29	4107142.836	18.05	1332133.984	11.19	16454101.57	15.05	1438975.471	15.06	1093871.155	9.04	1831532.146	24.42	1711719.892	8.13	78947141.52	12.26	12286321.5	7.5	1061264.867	17.46	3192496.078	7.91	4715550.795	10.21	6406522.011	16.9	1933240.213	7.68	4350923.972	11.99	10115456.5	8.33	1421386.773	9.76	11243916.09	14.48	351295055.9	14.88	1920253.16	8.14	143421112.8	12	5779282.202	14.06	3189661.261	12	5713300.292	15.74	1991041.406	11.05	976391.042	12.25	3064199.196	12.79	3522571.277	13.73	3744485.371	12.54	4713146.602	7.59	1572923.055
14.18	7165457.837	11.94	1854805.325	11.72	13230837.68	14.48	331329236.2	18.47	2016598.036	13.72	2085605.817	11.67	2317422.01	7.7	2161101.308	16.4	3120295.07	11.84	8183193.992	14.35	847799.477	10.17	7086747.946	21.57	1076926.9	NA	NA	8.12	27476583.65	14.76	3434546.117	12.26	1425195.796	8.44	8611711.907	18.64	1290060.848	10.18	5642234.184	11.73	17181812.79	8.87	21777846.61	16.08	1025345.183	8.81	2665659.122	14.7	1516561.878	14.49	301562427.8	7.54	2938771.2	16.89	4896815.515	8.8	31478768.85	7.43	1988453.57	13.73	2211121.039	16.3	5742397.382	10.28	2318541.023	12.97	9652293.696	15.11	2011590.812	13.8	5220077.027	14.75	4220761.111	11.85	1965569.554	16.46	1744320.427	12.21	4913497.766	13.81	5749045.689	12.13	2201500.822	8.43	824675.04	14.93	1649818.172	15.51	1900878.982	14.17	1861702.961	13.73	1536945.48	7.65	3607578.895	11.05	3664385.483	14.18	2471522.238	12.12	7221480.863	14.75	2843233.606	9.77	9419673.968	21.62	2821559.32	18.63	1833444.642	11.28	11115654.68	15.46	12602853.71	15.46	7494929.413	9.27	2661414.889	24.87	1812679.079	8.39	1370256.714	12.4	11836397.85	7.53	2874464.122	17.62	1259859.918	7.95	1663488.353	10.28	2213212.402	17.15	1424075.62	7.72	2324905.511	12.13	3650824.297	8.45	11476233.17	9.89	5392636.807	14.7	3607146.444	15.05	2602731.071	8.47	20289790.06	12.12	3278491.858	14.13	1478589.68	12.13	1624154.945	16.39	2492971.15	11.06	860423.562	12.54	6395599.89	12.99	4859971.536	13.81	5177837.667	12.65	1304872.151	7.64	3124264.513
